Name	MC-289_T1-Amb_1603	MC-289_T1-Amb_1609	MC-289_T1-HiT_2878	MC-289_T1-HiT_2023	MC-289_T3-Amb_1595	MC-289_T3-Amb_2741	MC-289_T3-HiT_2183	MC-289_T3-HiT_2058	MC-289_T5-Amb_1721	MC-289_T5-Amb_2874	MC-289_T5-HiT_1341	MC-289_T5-HiT_2998	MC-289_Field_289-1	MC-289_Field_289-2
Montipora_capitata_PredGene_g62126	217.6	277.6	142	149	241.9	158.3	119.9	145	259	250.2	164.1	128.4	199.4	183.1
Montipora_capitata_PredGene_g35102	178.7	170.3	97.3	109.9	146.3	89.1	70.2	64.1	210	158.9	105.9	119	116.8	159.2
Montipora_capitata_PredGene_g65068	693.4	800.5	529.8	373.4	858.2	785.6	432.6	534.1	475.7	512.5	386.8	1353	583.1	745.8
Montipora_capitata_PredGene_adi2mcaRNA8_R9	14.3	23.2	15.5	7.6	22.5	20.3	24.8	29.5	16.5	19.6	25.3	15.8	25	24.7
Montipora_capitata_PredGene_adi2mcaRNA18163_R0	16.3	16.7	10.2	9.6	17.4	16.3	10.8	9.1	17.8	17.1	12.7	7.5	10.2	11.4
Montipora_capitata_PredGene_g21596	166.6	400.2	219.7	108.9	240.6	220.6	404	488.7	132.3	246.7	298.9	368.2	430.1	390.7
Montipora_capitata_PredGene_g22561	105.2	69.2	42	62.2	88.3	120.3	39.8	43.5	207.9	50.6	116.6	79.2	31.9	54.7
Montipora_capitata_PredGene_g57307	418.8	362.4	193.3	283	375.9	332.4	278.7	257.7	319.6	466	392	375.6	352.5	440.4
Montipora_capitata_PredGene_g8559	45.1	51.8	28.9	29.2	38.7	54.1	29.8	29.2	37.5	46	21.2	49.3	33.7	45.1
Montipora_capitata_PredGene_g37493	191.5	213.4	101.9	145.1	247.3	210.6	103.1	122.5	172.6	174.3	105.1	221.2	176.6	142.8
Montipora_capitata_PredGene_g36890	26.4	30.5	19	15.4	21.6	16.4	14.4	23.2	20.1	34.2	17.7	18.5	19.5	21.8
Montipora_capitata_PredGene_g10351	48.6	49.2	48.2	18.1	60.3	46.6	41.2	56.8	25.6	45.5	65.3	8.5	53.1	52.4
Montipora_capitata_PredGene_g16414	335.1	439.3	263.9	202.6	384.9	365	215.2	211.6	358.3	392	228	404.2	328.7	352.4
Montipora_capitata_PredGene_g38040	13.2	15.9	9.1	8.4	6.5	5.5	6.8	8	14.3	10.1	8.8	9.2	9.8	11.8
Montipora_capitata_PredGene_g20508	301.5	321.9	185.6	190.7	194	232.1	210.8	184.5	254.6	241.1	240.2	235	265.3	264.2
Montipora_capitata_PredGene_g22292	23.2	25.2	15.5	13.7	25.8	18.4	16.9	18	25	26.1	22.1	13.4	22	18.7
Montipora_capitata_PredGene_g39699	23.4	24.3	12.1	17.1	11.6	19	4	3.1	6.5	11.7	4.9	24.7	10.1	13.6
Montipora_capitata_PredGene_g70335	269.8	286.5	128	221	259.5	243.2	211.9	184.7	372.7	355	293.6	257.3	215	318.3
Montipora_capitata_PredGene_g27816	835.2	863.1	510.5	516.1	656.4	711.9	414.5	397.6	582.4	1098.4	525.9	702.9	574.5	834.4
Montipora_capitata_PredGene_g1651	492.6	556.1	326.4	308.1	529.3	409	314.1	275.3	355	543.4	374	383.5	327.1	390
Montipora_capitata_PredGene_adi2mcaRNA12119_R0	153.8	219.2	158.5	78.4	163	189.8	70.9	60.2	263.6	108.3	48.6	278	338.5	351.9
Montipora_capitata_PredGene_g60390	424.9	514.5	274.9	293.6	406.8	297.1	218.2	265	562.5	509.3	330.8	405.8	363.6	413.7
Montipora_capitata_PredGene_g62388	15.4	19.4	10.3	10.8	11.4	13.3	9.6	8.8	12.1	14.5	8.9	7.4	12	8.4
Montipora_capitata_PredGene_adi2mcaRNA30008_R5	207.5	62.5	50.8	94.7	34.2	40.8	70.7	75.4	50.2	244	187.3	13.4	35.3	23.7
Montipora_capitata_PredGene_g48455	147.2	115.4	82	76.7	120.9	126.7	90.2	68.3	106.6	85.4	93.9	152.1	158.5	175.3
Montipora_capitata_PredGene_g55074	9.2	10.8	5.4	6.8	6.3	10.1	8.7	9.3	12.7	9.8	9	21.9	8.2	11.4
Montipora_capitata_PredGene_g48684	103	165.1	67.9	93.1	121.5	75.2	94.4	94.7	151.6	180.1	150.1	166.1	138.9	177.4
Montipora_capitata_PredGene_g22588	26.5	34.3	16.4	20.6	25.8	22.9	27.2	24.1	34.7	33.1	17.7	25.5	28.8	37.1
Montipora_capitata_PredGene_g48820	141.3	189.9	135.3	74	95.8	161.5	116.8	112.9	211.1	218.5	62.8	76.6	191	197.9
Montipora_capitata_PredGene_adi2mcaRNA32466_R0	490.4	647.5	373.2	318.5	518.1	446.8	298.2	277.6	261.8	381	299.7	290.6	413	535.5
Montipora_capitata_PredGene_g1826	2434.8	2326.4	1589.5	1345.3	4089.6	3617	901.1	837.8	5427	3061	715	2967.7	5256.2	5490.7
Montipora_capitata_PredGene_g22348	101.1	91.1	55.3	62.8	91.6	78.2	47.4	53.2	78	69.6	64.4	71.9	74.4	75.7
Montipora_capitata_PredGene_g26573	55.2	67.2	41.2	33.9	59.3	49.8	38.6	28.3	15.5	64.7	33.5	75.2	47.7	56.5
Montipora_capitata_PredGene_g36079	141.6	134	73.9	97	118.5	108	83.2	95.2	141.7	151	117.1	136	89.8	117.8
Montipora_capitata_PredGene_g37230	74.7	88.7	52.2	48.3	55.2	57.2	60.5	56.8	80.4	84.8	73.5	125.4	45.3	92.2
Montipora_capitata_PredGene_g11796	9	7.4	5.5	4.6	7	5.2	8	7.9	8.7	8	11.7	11.8	8.8	6.3
Montipora_capitata_PredGene_g44596	34.1	43.5	23.5	24.1	37.6	39.8	17.1	22.9	16.1	30.7	19	22.8	32.7	39.4
